"","grade","content"
"68","10","쫄깃하고 풋풋한 아주 맛좋은 영화윤아가 너무 좋아"
"69","2","도대체 이게왜이렇게 평점이높은지 이해불가..재미가아예없지는않지만 재난도아니고 코디미도아니고 이도저도아닌 집에서가볍게보기좋은영화"
"70","10","믿고보는 최애배우 조정석과 임윤아 연기력 어쩔ㆍ아이돌 출신이라는 타이틀 빼고 그냥 배우라해도 무방함 !!"
"71","1","재난영화같지않은것을 재난으로 포장"
"72","9",""
"73","10","조정석 윤아 둘의 케미 완전 재밌다!긴장감과 감동까지 정말 시간가는 줄 모르고 봤다."
"74","1","완전 sm 언플이 만들어낸 관객수! b급도 못되는 돈 아까운!"
"75","10",""
"76","10",""
"77","9","주먹 꽉쥐고 봤습니다. 끝나고 나오니 온몸에 긴장이..풀리네요.."
"78","9","긴장감, 몰입도 최고인 괜찮은 영화입니다.얼른 보세요~"
"79","6","빵터지진 않지만.. 그냥 배우들의 연기가 이쁘더라. 불필요한 장면도 없고, 임팩트가 좀 약해서 살짝 지루할뻔 했지만 그래도 잘 봤다."
"80","1","이게 왜?? 올만에 중간에 나온영화"
"81","10","윤아랑 조정석이랑 둘다 굿"
"82","7","여름엔 역시 재난영화인듯!!묻힐뻔했던 영화가 신선한 소재와 나름 탄탄한 기본기와진정성으로 성수기지만 블록버스터는 없는?'극장가에 관통 ㅎㅎ에어컨바람 차가운데 재난영화까지 보니 쫄깃 소름돋아재밌게 봤네요 두시간동안의 현실탈출 잼잼!(단점이라 하면 남는건 그다지 없는듯;; 코믹이 아주 빵빵급까진 아닌듯킬링 타임용으론 강추!!)tmi--화*표씬은 정말 감동적였음 ㅜㅜ"
"83","8","아무생각 없이 가볍게 보기 좋은 영화꼭  영화가 교훈을 주고 감명을 주기위해서만 만들어져야 할 필요가 있을까?그냥  생각없이 웃고 기분전환하기 좋은 이런 코믹영화도 좋을듯재난영화가 코믹하니 참 아이러니하고 재밌네"
"84","9","윤아 이영화 연기좋다 내용도 있고  재미있게 봤습니다~"
"85","9","조정석도 이런류의 멜로,코믹연기에선 장이될듯... 임창정이 그쪽류로 대빵 된건처럼... 내 생각이지만... 이런류, 그쪽류라 함은 내가 표현력이부족해서... 영화 잼있다."
"86","8","뻔해도 재밌"
"87","1","윤아가 영화 망쳤다"
"88","10","엄청 욷겨따!"
"89","8","별기대 없이 봤는데 여름을 날려줄 재미있는 영화다. 다만 엔딩부분을 에피소드형식으로 좀 더 넣어줬으면 좋았을 텐데. 쩝."
"90","10",""
"91","1","사고가 나고 도망 나오고 더이상 더이하도 아닌 영화!"
"92","10",""
"93","10","완전 재밌어요. 별 기대없이 봤는데... ㅋㅋ 윤아님도 연기 좋네요. 완전 의외. 조정석님과 윤아님 흥행 축하드려요."
"94","8","스트레스 확 날려준 영화"
"95","10","영화의 흐름이 안 끊기니 흥행도 계속되는구나"
"96","10","초중40대남여 다 재밌다고  연기 좋고요"
"97","5","영화적 완성도나 재미로는 절대 700만 갈 영화는 아닌데 영화 외적인 생활안전 지식이 전달된 부분에서 호평을 받고 다른 볼만한 영화가 없어서 흥행을 한것으로 보인다.개인적으로 주인공이 영웅적으로 다가 비범한 활약을 할수있는 모든 밑밥을 깔아놓고도최대한 평범한 범인으로 만들려고 애쓴.. 영화적 재미와 카타르시스를 죽여버린 어리석은 영화라고 사료됨.유승범 주연의 '염력' 을 본 느낌의 영화였슴."
"98","10","아이들이랑 같이봤는데 넘재밌게 잘봤어요~^^"
"99","9","신선한 소재~~그리고 출현진들의 맛깔난 연기~~신파스럽지않은 가족애~~손에 땀을 쥐게 하는 긴장감~~~이정도면 감독 상줘야죠~~~^^"
"100","10","재밋다"
"101","1","이게 800만 영화라고? 난 유치해 죽는 줄"
"102","10",""
"103","10",""
"104","10",""
"105","5","재난영화도 코미디도 아닌 어정쩡한  영화"
"106","1",""
"107","3","재난영화들은 왜이리 개연성이 없는 스토리로 엉상한지 모르겠다. 누구나 예측가능한 스토리에....드론과 방송으로 위치도 다 파악되었는데, 각종 드론떼들만 모여들고 구조헬기는 오지 않는다. ㅋ 진자운동을 하다가 줄이 풀려 자유낙하로 전환되었는데...갑자기 타워크레인에서 구조신호보내고...실소를 자아내게 한다. 좀 짜임새있게 마무리가 되었다면, 괜찮은 영화로 남았겠지만....전체적으로 별로였다."
"108","10","웃기고 짜릿하고 다 좋았는데 결말이 좀 아쉽네요 ㅠㅠ"
"109","6","조정석 연기가 좋아서 별3개 줬어요. 결말은 많이 아쉬워요"
