"","grade","content"
"1","10",""
"2","4","초딩 보기 딱~~좋은영화"
"3","8","실제였다면가족들 표정이정말 저리 나왔을 듯윤아의 표정이저 상황 속에 처했을사람의 마음을 표현한 듯."
"4","8","조정석 짱 고두심 박인환 연기 소름"
"5","9","윤아빼곤 완벽!!!!!! 윤아 나오면 긴장 백배 발연기 나올까 너무 불안 김지영씨 포함 다른 조연들 연기 완벽 심지어 조정석도 쫌 불안했으나 제작비 한계로 이해하고 넘어갈게요"
"6","1",""
"7","10","그냥 볼것 재밋음"
"8","10","재미있게 봤어요 그래서 무대인사도 보러갑니다"
"9","9",""
"10","8","재밌게 보고왔네요. 조정석~넘~웃껴~~~^^"
